id,name,type,tactics,description,severity,cvss_score,cvss_vector
CVE-2022-9007,CVE-193,CVE,execution,Critical vulnerability in software 193 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2025-9062,CVE-194,CVE,privilege-escalation,Critical vulnerability in software 194 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T4754,TTP-195,TTP,persistence,Adversaries may perform malicious activity related to TTP 195.,high,,
T4345,TTP-196,TTP,impact,Adversaries may perform malicious activity related to TTP 196.,high,,
T2917,TTP-197,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 197.,high,,
T3714,TTP-198,TTP,execution,Adversaries may perform malicious activity related to TTP 198.,medium,,
CVE-2024-4620,CVE-199,CVE,privilege-escalation,Critical vulnerability in software 199 allowing remote exploitation.,high,9.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T4145,TTP-200,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 200.,high,,
T9252,TTP-201,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 201.,critical,,
CVE-2022-5850,CVE-202,CVE,execution,Critical vulnerability in software 202 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T5094,TTP-203,TTP,impact,Adversaries may perform malicious activity related to TTP 203.,high,,
T7165,TTP-204,TTP,execution,Adversaries may perform malicious activity related to TTP 204.,critical,,
T2077,TTP-205,TTP,execution,Adversaries may perform malicious activity related to TTP 205.,critical,,
CVE-2023-2007,CVE-206,CVE,execution,Critical vulnerability in software 206 allowing remote exploitation.,critical,8.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2020-8730,CVE-207,CVE,execution,Critical vulnerability in software 207 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-4917,CVE-208,CVE,execution,Critical vulnerability in software 208 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T7395,TTP-209,TTP,discovery,Adversaries may perform malicious activity related to TTP 209.,medium,,
CVE-2020-5322,CVE-210,CVE,privilege-escalation,Critical vulnerability in software 210 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2025-4512,CVE-211,CVE,privilege-escalation,Critical vulnerability in software 211 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2022-1883,CVE-212,CVE,execution,Critical vulnerability in software 212 allowing remote exploitation.,critical,9.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T2340,TTP-213,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 213.,medium,,
T8356,TTP-214,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 214.,high,,
T7312,TTP-215,TTP,discovery,Adversaries may perform malicious activity related to TTP 215.,critical,,
T4504,TTP-216,TTP,impact,Adversaries may perform malicious activity related to TTP 216.,medium,,
T3392,TTP-217,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 217.,critical,,
CVE-2022-7372,CVE-218,CVE,initial-access,Critical vulnerability in software 218 allowing remote exploitation.,high,10.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T5963,TTP-219,TTP,impact,Adversaries may perform malicious activity related to TTP 219.,medium,,
T6467,TTP-220,TTP,persistence,Adversaries may perform malicious activity related to TTP 220.,high,,
CVE-2025-5149,CVE-221,CVE,execution,Critical vulnerability in software 221 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2020-2327,CVE-222,CVE,initial-access,Critical vulnerability in software 222 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2022-6933,CVE-223,CVE,execution,Critical vulnerability in software 223 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2020-1659,CVE-224,CVE,execution,Critical vulnerability in software 224 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2025-5888,CVE-225,CVE,privilege-escalation,Critical vulnerability in software 225 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T3156,TTP-226,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 226.,high,,
CVE-2024-2815,CVE-227,CVE,privilege-escalation,Critical vulnerability in software 227 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T8296,TTP-228,TTP,persistence,Adversaries may perform malicious activity related to TTP 228.,high,,
CVE-2025-4656,CVE-229,CVE,execution,Critical vulnerability in software 229 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T6968,TTP-230,TTP,execution,Adversaries may perform malicious activity related to TTP 230.,medium,,
T9413,TTP-231,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 231.,critical,,
CVE-2022-9962,CVE-232,CVE,execution,Critical vulnerability in software 232 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T2162,TTP-233,TTP,impact,Adversaries may perform malicious activity related to TTP 233.,medium,,
T7935,TTP-234,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 234.,medium,,
CVE-2024-6816,CVE-235,CVE,privilege-escalation,Critical vulnerability in software 235 allowing remote exploitation.,critical,8.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2024-1730,CVE-236,CVE,privilege-escalation,Critical vulnerability in software 236 allowing remote exploitation.,high,7.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2022-9915,CVE-237,CVE,execution,Critical vulnerability in software 237 allowing remote exploitation.,high,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T2817,TTP-238,TTP,execution,Adversaries may perform malicious activity related to TTP 238.,critical,,
CVE-2022-5169,CVE-239,CVE,initial-access,Critical vulnerability in software 239 allowing remote exploitation.,high,7.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T5078,TTP-240,TTP,execution,Adversaries may perform malicious activity related to TTP 240.,high,,
CVE-2022-7754,CVE-241,CVE,privilege-escalation,Critical vulnerability in software 241 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2021-4670,CVE-242,CVE,execution,Critical vulnerability in software 242 allowing remote exploitation.,critical,9.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-6371,CVE-243,CVE,execution,Critical vulnerability in software 243 allowing remote exploitation.,critical,7.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2021-6157,CVE-244,CVE,privilege-escalation,Critical vulnerability in software 244 allowing remote exploitation.,high,8.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2021-5600,CVE-245,CVE,privilege-escalation,Critical vulnerability in software 245 allowing remote exploitation.,critical,8.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T4925,TTP-246,TTP,execution,Adversaries may perform malicious activity related to TTP 246.,medium,,
CVE-2022-1770,CVE-247,CVE,privilege-escalation,Critical vulnerability in software 247 allowing remote exploitation.,critical,7.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2020-9721,CVE-248,CVE,execution,Critical vulnerability in software 248 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T1967,TTP-249,TTP,persistence,Adversaries may perform malicious activity related to TTP 249.,critical,,
CVE-2022-7567,CVE-250,CVE,privilege-escalation,Critical vulnerability in software 250 allowing remote exploitation.,critical,7.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2025-5237,CVE-251,CVE,initial-access,Critical vulnerability in software 251 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T2929,TTP-252,TTP,persistence,Adversaries may perform malicious activity related to TTP 252.,medium,,
CVE-2023-3220,CVE-253,CVE,privilege-escalation,Critical vulnerability in software 253 allowing remote exploitation.,high,8.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2024-7889,CVE-254,CVE,initial-access,Critical vulnerability in software 254 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T6774,TTP-255,TTP,impact,Adversaries may perform malicious activity related to TTP 255.,critical,,
T9036,TTP-256,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 256.,critical,,
CVE-2023-4892,CVE-257,CVE,initial-access,Critical vulnerability in software 257 allowing remote exploitation.,critical,8.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2022-1059,CVE-258,CVE,execution,Critical vulnerability in software 258 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T9135,TTP-259,TTP,impact,Adversaries may perform malicious activity related to TTP 259.,high,,
T8694,TTP-260,TTP,persistence,Adversaries may perform malicious activity related to TTP 260.,high,,
CVE-2023-2264,CVE-261,CVE,initial-access,Critical vulnerability in software 261 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
T8171,TTP-262,TTP,discovery,Adversaries may perform malicious activity related to TTP 262.,critical,,
CVE-2023-1982,CVE-263,CVE,initial-access,Critical vulnerability in software 263 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T5599,TTP-264,TTP,discovery,Adversaries may perform malicious activity related to TTP 264.,critical,,
CVE-2021-4524,CVE-265,CVE,execution,Critical vulnerability in software 265 allowing remote exploitation.,high,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2022-2981,CVE-266,CVE,initial-access,Critical vulnerability in software 266 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T9853,TTP-267,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 267.,medium,,
CVE-2020-2995,CVE-268,CVE,execution,Critical vulnerability in software 268 allowing remote exploitation.,high,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2024-4799,CVE-269,CVE,initial-access,Critical vulnerability in software 269 allowing remote exploitation.,high,8.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2023-1946,CVE-270,CVE,initial-access,Critical vulnerability in software 270 allowing remote exploitation.,critical,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2023-1925,CVE-271,CVE,privilege-escalation,Critical vulnerability in software 271 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T8548,TTP-272,TTP,discovery,Adversaries may perform malicious activity related to TTP 272.,medium,,
T7653,TTP-273,TTP,discovery,Adversaries may perform malicious activity related to TTP 273.,critical,,
CVE-2022-7169,CVE-274,CVE,privilege-escalation,Critical vulnerability in software 274 allowing remote exploitation.,high,8.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T8082,TTP-275,TTP,impact,Adversaries may perform malicious activity related to TTP 275.,high,,
T8272,TTP-276,TTP,execution,Adversaries may perform malicious activity related to TTP 276.,high,,
CVE-2025-6357,CVE-277,CVE,initial-access,Critical vulnerability in software 277 allowing remote exploitation.,high,7.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2021-5080,CVE-278,CVE,initial-access,Critical vulnerability in software 278 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2022-7138,CVE-279,CVE,initial-access,Critical vulnerability in software 279 allowing remote exploitation.,critical,9.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T4491,TTP-280,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 280.,critical,,
CVE-2022-6568,CVE-281,CVE,initial-access,Critical vulnerability in software 281 allowing remote exploitation.,high,7.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2020-8777,CVE-282,CVE,privilege-escalation,Critical vulnerability in software 282 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2022-9584,CVE-283,CVE,privilege-escalation,Critical vulnerability in software 283 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T4081,TTP-284,TTP,execution,Adversaries may perform malicious activity related to TTP 284.,critical,,
T4160,TTP-285,TTP,impact,Adversaries may perform malicious activity related to TTP 285.,high,,
CVE-2020-4215,CVE-286,CVE,execution,Critical vulnerability in software 286 allowing remote exploitation.,high,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T9101,TTP-287,TTP,persistence,Adversaries may perform malicious activity related to TTP 287.,critical,,
CVE-2023-6608,CVE-288,CVE,initial-access,Critical vulnerability in software 288 allowing remote exploitation.,critical,9.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2024-3506,CVE-289,CVE,privilege-escalation,Critical vulnerability in software 289 allowing remote exploitation.,critical,9.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2020-9202,CVE-290,CVE,initial-access,Critical vulnerability in software 290 allowing remote exploitation.,high,7.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T2798,TTP-291,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 291.,critical,,
CVE-2024-6460,CVE-292,CVE,privilege-escalation,Critical vulnerability in software 292 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2024-9837,CVE-293,CVE,initial-access,Critical vulnerability in software 293 allowing remote exploitation.,high,7.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2023-4415,CVE-294,CVE,privilege-escalation,Critical vulnerability in software 294 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2022-8689,CVE-295,CVE,initial-access,Critical vulnerability in software 295 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T1429,TTP-296,TTP,discovery,Adversaries may perform malicious activity related to TTP 296.,high,,
T2078,TTP-297,TTP,persistence,Adversaries may perform malicious activity related to TTP 297.,critical,,
T9199,TTP-298,TTP,persistence,Adversaries may perform malicious activity related to TTP 298.,medium,,
CVE-2020-9738,CVE-299,CVE,privilege-escalation,Critical vulnerability in software 299 allowing remote exploitation.,critical,7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T8834,TTP-300,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 300.,high,,
T4895,TTP-301,TTP,persistence,Adversaries may perform malicious activity related to TTP 301.,high,,
T1549,TTP-302,TTP,persistence,Adversaries may perform malicious activity related to TTP 302.,medium,,
CVE-2020-5306,CVE-303,CVE,initial-access,Critical vulnerability in software 303 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T5466,TTP-304,TTP,discovery,Adversaries may perform malicious activity related to TTP 304.,medium,,
CVE-2025-5048,CVE-305,CVE,execution,Critical vulnerability in software 305 allowing remote exploitation.,critical,7.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2022-3624,CVE-306,CVE,initial-access,Critical vulnerability in software 306 allowing remote exploitation.,critical,8.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2022-6226,CVE-307,CVE,initial-access,Critical vulnerability in software 307 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2022-9267,CVE-308,CVE,privilege-escalation,Critical vulnerability in software 308 allowing remote exploitation.,critical,9.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2022-8634,CVE-309,CVE,privilege-escalation,Critical vulnerability in software 309 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T6538,TTP-310,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 310.,critical,,
CVE-2024-9705,CVE-311,CVE,initial-access,Critical vulnerability in software 311 allowing remote exploitation.,high,7.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T9096,TTP-312,TTP,execution,Adversaries may perform malicious activity related to TTP 312.,critical,,
CVE-2021-4911,CVE-313,CVE,execution,Critical vulnerability in software 313 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T6752,TTP-314,TTP,impact,Adversaries may perform malicious activity related to TTP 314.,high,,
T5552,TTP-315,TTP,discovery,Adversaries may perform malicious activity related to TTP 315.,critical,,
CVE-2020-4205,CVE-316,CVE,privilege-escalation,Critical vulnerability in software 316 allowing remote exploitation.,high,9.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T1058,TTP-317,TTP,discovery,Adversaries may perform malicious activity related to TTP 317.,medium,,
CVE-2025-8632,CVE-318,CVE,execution,Critical vulnerability in software 318 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T4705,TTP-319,TTP,discovery,Adversaries may perform malicious activity related to TTP 319.,medium,,
T7087,TTP-320,TTP,persistence,Adversaries may perform malicious activity related to TTP 320.,medium,,
CVE-2020-9508,CVE-321,CVE,execution,Critical vulnerability in software 321 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2024-5807,CVE-322,CVE,privilege-escalation,Critical vulnerability in software 322 allowing remote exploitation.,critical,8.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T9697,TTP-323,TTP,persistence,Adversaries may perform malicious activity related to TTP 323.,medium,,
T3672,TTP-324,TTP,discovery,Adversaries may perform malicious activity related to TTP 324.,critical,,
CVE-2025-2022,CVE-325,CVE,privilege-escalation,Critical vulnerability in software 325 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2021-6649,CVE-326,CVE,privilege-escalation,Critical vulnerability in software 326 allowing remote exploitation.,high,8.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2021-2334,CVE-327,CVE,initial-access,Critical vulnerability in software 327 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2021-5267,CVE-328,CVE,privilege-escalation,Critical vulnerability in software 328 allowing remote exploitation.,high,9.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T2226,TTP-329,TTP,impact,Adversaries may perform malicious activity related to TTP 329.,critical,,
CVE-2022-6242,CVE-330,CVE,execution,Critical vulnerability in software 330 allowing remote exploitation.,critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2025-7475,CVE-331,CVE,execution,Critical vulnerability in software 331 allowing remote exploitation.,critical,7.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2025-1913,CVE-332,CVE,execution,Critical vulnerability in software 332 allowing remote exploitation.,high,7.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2023-6865,CVE-333,CVE,execution,Critical vulnerability in software 333 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2021-2566,CVE-334,CVE,initial-access,Critical vulnerability in software 334 allowing remote exploitation.,critical,7.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2024-6369,CVE-335,CVE,privilege-escalation,Critical vulnerability in software 335 allowing remote exploitation.,critical,8.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2022-2540,CVE-336,CVE,privilege-escalation,Critical vulnerability in software 336 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2024-2196,CVE-337,CVE,privilege-escalation,Critical vulnerability in software 337 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2020-6331,CVE-338,CVE,privilege-escalation,Critical vulnerability in software 338 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2022-3152,CVE-339,CVE,privilege-escalation,Critical vulnerability in software 339 allowing remote exploitation.,high,7.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-6237,CVE-340,CVE,initial-access,Critical vulnerability in software 340 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2025-6403,CVE-341,CVE,privilege-escalation,Critical vulnerability in software 341 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2024-5183,CVE-342,CVE,initial-access,Critical vulnerability in software 342 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2022-3154,CVE-343,CVE,privilege-escalation,Critical vulnerability in software 343 allowing remote exploitation.,high,9.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2024-6937,CVE-344,CVE,execution,Critical vulnerability in software 344 allowing remote exploitation.,critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T8203,TTP-345,TTP,discovery,Adversaries may perform malicious activity related to TTP 345.,medium,,
CVE-2025-6821,CVE-346,CVE,execution,Critical vulnerability in software 346 allowing remote exploitation.,high,8.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2025-5689,CVE-347,CVE,execution,Critical vulnerability in software 347 allowing remote exploitation.,high,9.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T5990,TTP-348,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 348.,medium,,
T9231,TTP-349,TTP,persistence,Adversaries may perform malicious activity related to TTP 349.,critical,,
T3076,TTP-350,TTP,execution,Adversaries may perform malicious activity related to TTP 350.,high,,
CVE-2021-6046,CVE-351,CVE,initial-access,Critical vulnerability in software 351 allowing remote exploitation.,critical,7.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2023-5325,CVE-352,CVE,privilege-escalation,Critical vulnerability in software 352 allowing remote exploitation.,high,7.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2025-7373,CVE-353,CVE,initial-access,Critical vulnerability in software 353 allowing remote exploitation.,critical,9.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T9895,TTP-354,TTP,discovery,Adversaries may perform malicious activity related to TTP 354.,medium,,
T6130,TTP-355,TTP,discovery,Adversaries may perform malicious activity related to TTP 355.,high,,
CVE-2020-8202,CVE-356,CVE,initial-access,Critical vulnerability in software 356 allowing remote exploitation.,high,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T8002,TTP-357,TTP,persistence,Adversaries may perform malicious activity related to TTP 357.,medium,,
T9133,TTP-358,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 358.,medium,,
CVE-2023-4048,CVE-359,CVE,initial-access,Critical vulnerability in software 359 allowing remote exploitation.,high,7.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2025-2575,CVE-360,CVE,execution,Critical vulnerability in software 360 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2021-4607,CVE-361,CVE,initial-access,Critical vulnerability in software 361 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T6582,TTP-362,TTP,discovery,Adversaries may perform malicious activity related to TTP 362.,critical,,
T3195,TTP-363,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 363.,high,,
CVE-2021-3251,CVE-364,CVE,initial-access,Critical vulnerability in software 364 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2022-4399,CVE-365,CVE,privilege-escalation,Critical vulnerability in software 365 allowing remote exploitation.,critical,7.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2021-1503,CVE-366,CVE,privilege-escalation,Critical vulnerability in software 366 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2023-2350,CVE-367,CVE,privilege-escalation,Critical vulnerability in software 367 allowing remote exploitation.,high,9.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T2299,TTP-368,TTP,impact,Adversaries may perform malicious activity related to TTP 368.,high,,
T1013,TTP-369,TTP,execution,Adversaries may perform malicious activity related to TTP 369.,high,,
CVE-2024-7538,CVE-370,CVE,privilege-escalation,Critical vulnerability in software 370 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
