source,target,type,impact_score,mitigation
CVE-2020-4287,IT-00571,TARGETS,0.93,Isoler IT-00571 et appliquer les correctifs pour CVE-2020-4287.
CVE-2021-5822,IT-05496,TARGETS,0.82,Isoler IT-05496 et appliquer les correctifs pour CVE-2021-5822.
T9101,IT-08569,TARGETS,0.66,Isoler IT-08569 et appliquer les correctifs pour T9101.
T1828,IT-03887,TARGETS,0.73,Isoler IT-03887 et appliquer les correctifs pour T1828.
CVE-2021-9366,IT-06538,TARGETS,0.71,Isoler IT-06538 et appliquer les correctifs pour CVE-2021-9366.
T7245,IT-08045,TARGETS,0.69,Isoler IT-08045 et appliquer les correctifs pour T7245.
CVE-2024-8848,IT-09019,TARGETS,0.51,Isoler IT-09019 et appliquer les correctifs pour CVE-2024-8848.
CVE-2022-9424,IT-04603,TARGETS,0.63,Isoler IT-04603 et appliquer les correctifs pour CVE-2022-9424.
T2734,IT-04250,TARGETS,0.81,Isoler IT-04250 et appliquer les correctifs pour T2734.
T2653,IT-09433,TARGETS,0.87,Isoler IT-09433 et appliquer les correctifs pour T2653.
T3045,IT-03338,TARGETS,0.93,Isoler IT-03338 et appliquer les correctifs pour T3045.
CVE-2023-2623,IT-03045,TARGETS,0.8,Isoler IT-03045 et appliquer les correctifs pour CVE-2023-2623.
CVE-2023-2007,IT-00928,TARGETS,0.77,Isoler IT-00928 et appliquer les correctifs pour CVE-2023-2007.
T5459,IT-04236,TARGETS,0.99,Isoler IT-04236 et appliquer les correctifs pour T5459.
CVE-2021-4670,IT-04713,TARGETS,0.52,Isoler IT-04713 et appliquer les correctifs pour CVE-2021-4670.
CVE-2025-7963,IT-06465,TARGETS,0.59,Isoler IT-06465 et appliquer les correctifs pour CVE-2025-7963.
CVE-2024-6369,IT-05508,TARGETS,0.94,Isoler IT-05508 et appliquer les correctifs pour CVE-2024-6369.
CVE-2021-8055,IT-05355,TARGETS,0.93,Isoler IT-05355 et appliquer les correctifs pour CVE-2021-8055.
CVE-2025-8617,IT-09408,TARGETS,0.83,Isoler IT-09408 et appliquer les correctifs pour CVE-2025-8617.
T3219,IT-04936,TARGETS,0.6,Isoler IT-04936 et appliquer les correctifs pour T3219.
T1306,IT-09190,TARGETS,0.52,Isoler IT-09190 et appliquer les correctifs pour T1306.
CVE-2025-7136,IT-05794,TARGETS,0.91,Isoler IT-05794 et appliquer les correctifs pour CVE-2025-7136.
CVE-2022-8634,IT-08045,TARGETS,0.56,Isoler IT-08045 et appliquer les correctifs pour CVE-2022-8634.
CVE-2020-6331,IT-09680,TARGETS,0.63,Isoler IT-09680 et appliquer les correctifs pour CVE-2020-6331.
CVE-2024-6937,IT-06819,TARGETS,0.68,Isoler IT-06819 et appliquer les correctifs pour CVE-2024-6937.
CVE-2020-1659,IT-06551,TARGETS,0.75,Isoler IT-06551 et appliquer les correctifs pour CVE-2020-1659.
CVE-2023-4990,IT-08850,TARGETS,0.67,Isoler IT-08850 et appliquer les correctifs pour CVE-2023-4990.
T8328,IT-08148,TARGETS,0.54,Isoler IT-08148 et appliquer les correctifs pour T8328.
CVE-2022-8634,IT-07309,TARGETS,0.84,Isoler IT-07309 et appliquer les correctifs pour CVE-2022-8634.
T1020,IT-00161,TARGETS,0.52,Isoler IT-00161 et appliquer les correctifs pour T1020.
CVE-2023-2350,IT-02802,TARGETS,0.88,Isoler IT-02802 et appliquer les correctifs pour CVE-2023-2350.
T5804,IT-06086,TARGETS,0.87,Isoler IT-06086 et appliquer les correctifs pour T5804.
CVE-2020-4205,IT-08024,TARGETS,0.69,Isoler IT-08024 et appliquer les correctifs pour CVE-2020-4205.
T2362,IT-03586,TARGETS,0.63,Isoler IT-03586 et appliquer les correctifs pour T2362.
T2901,IT-01439,TARGETS,0.58,Isoler IT-01439 et appliquer les correctifs pour T2901.
T1429,IT-01063,TARGETS,0.5,Isoler IT-01063 et appliquer les correctifs pour T1429.
T1711,IT-03315,TARGETS,0.65,Isoler IT-03315 et appliquer les correctifs pour T1711.
CVE-2025-4098,IT-07400,TARGETS,0.75,Isoler IT-07400 et appliquer les correctifs pour CVE-2025-4098.
T6752,IT-05590,TARGETS,0.58,Isoler IT-05590 et appliquer les correctifs pour T6752.
CVE-2024-9837,IT-05604,TARGETS,0.67,Isoler IT-05604 et appliquer les correctifs pour CVE-2024-9837.
T8272,IT-06044,TARGETS,0.61,Isoler IT-06044 et appliquer les correctifs pour T8272.
T8738,IT-00270,TARGETS,0.89,Isoler IT-00270 et appliquer les correctifs pour T8738.
CVE-2024-3662,IT-05334,TARGETS,0.63,Isoler IT-05334 et appliquer les correctifs pour CVE-2024-3662.
CVE-2022-2051,IT-02563,TARGETS,0.59,Isoler IT-02563 et appliquer les correctifs pour CVE-2022-2051.
CVE-2022-9962,IT-02308,TARGETS,0.68,Isoler IT-02308 et appliquer les correctifs pour CVE-2022-9962.
CVE-2023-7441,IT-02508,TARGETS,0.52,Isoler IT-02508 et appliquer les correctifs pour CVE-2023-7441.
T3856,IT-08070,TARGETS,0.53,Isoler IT-08070 et appliquer les correctifs pour T3856.
CVE-2022-3521,IT-03645,TARGETS,0.7,Isoler IT-03645 et appliquer les correctifs pour CVE-2022-3521.
CVE-2021-1382,IT-00069,TARGETS,0.78,Isoler IT-00069 et appliquer les correctifs pour CVE-2021-1382.
CVE-2020-8560,IT-06525,TARGETS,0.52,Isoler IT-06525 et appliquer les correctifs pour CVE-2020-8560.
CVE-2025-1913,IT-05414,TARGETS,0.69,Isoler IT-05414 et appliquer les correctifs pour CVE-2025-1913.
CVE-2025-9375,IT-00658,TARGETS,0.79,Isoler IT-00658 et appliquer les correctifs pour CVE-2025-9375.
CVE-2023-2350,IT-00788,TARGETS,0.82,Isoler IT-00788 et appliquer les correctifs pour CVE-2023-2350.
T9413,IT-09468,TARGETS,0.68,Isoler IT-09468 et appliquer les correctifs pour T9413.
CVE-2022-3152,IT-01095,TARGETS,0.61,Isoler IT-01095 et appliquer les correctifs pour CVE-2022-3152.
T2162,IT-09778,TARGETS,0.53,Isoler IT-09778 et appliquer les correctifs pour T2162.
T8290,IT-07288,TARGETS,0.9,Isoler IT-07288 et appliquer les correctifs pour T8290.
CVE-2021-7016,IT-08715,TARGETS,0.76,Isoler IT-08715 et appliquer les correctifs pour CVE-2021-7016.
T8328,IT-08113,TARGETS,0.69,Isoler IT-08113 et appliquer les correctifs pour T8328.
CVE-2023-2794,IT-09114,TARGETS,0.59,Isoler IT-09114 et appliquer les correctifs pour CVE-2023-2794.
T3649,IT-07604,TARGETS,0.79,Isoler IT-07604 et appliquer les correctifs pour T3649.
T6620,IT-02842,TARGETS,0.72,Isoler IT-02842 et appliquer les correctifs pour T6620.
T1056,IT-08062,TARGETS,0.73,Isoler IT-08062 et appliquer les correctifs pour T1056.
CVE-2022-1080,IT-05239,TARGETS,0.53,Isoler IT-05239 et appliquer les correctifs pour CVE-2022-1080.
CVE-2024-6442,IT-09462,TARGETS,0.98,Isoler IT-09462 et appliquer les correctifs pour CVE-2024-6442.
CVE-2021-8129,IT-05000,TARGETS,0.73,Isoler IT-05000 et appliquer les correctifs pour CVE-2021-8129.
CVE-2024-3145,IT-07168,TARGETS,0.63,Isoler IT-07168 et appliquer les correctifs pour CVE-2024-3145.
CVE-2023-2794,IT-02325,TARGETS,0.58,Isoler IT-02325 et appliquer les correctifs pour CVE-2023-2794.
T2076,IT-03306,TARGETS,0.51,Isoler IT-03306 et appliquer les correctifs pour T2076.
CVE-2021-1956,IT-06584,TARGETS,0.73,Isoler IT-06584 et appliquer les correctifs pour CVE-2021-1956.
CVE-2020-8276,IT-04300,TARGETS,0.82,Isoler IT-04300 et appliquer les correctifs pour CVE-2020-8276.
CVE-2024-5914,IT-09957,TARGETS,0.67,Isoler IT-09957 et appliquer les correctifs pour CVE-2024-5914.
T4970,IT-04491,TARGETS,0.64,Isoler IT-04491 et appliquer les correctifs pour T4970.
T3343,IT-03868,TARGETS,0.88,Isoler IT-03868 et appliquer les correctifs pour T3343.
T4093,IT-00326,TARGETS,0.65,Isoler IT-00326 et appliquer les correctifs pour T4093.
T8878,IT-05528,TARGETS,0.58,Isoler IT-05528 et appliquer les correctifs pour T8878.
T2257,IT-05446,TARGETS,0.81,Isoler IT-05446 et appliquer les correctifs pour T2257.
T1557,IT-07653,TARGETS,0.52,Isoler IT-07653 et appliquer les correctifs pour T1557.
T9592,IT-09736,TARGETS,0.53,Isoler IT-09736 et appliquer les correctifs pour T9592.
CVE-2025-9633,IT-08073,TARGETS,0.54,Isoler IT-08073 et appliquer les correctifs pour CVE-2025-9633.
T8832,IT-04389,TARGETS,0.52,Isoler IT-04389 et appliquer les correctifs pour T8832.
T4970,IT-03130,TARGETS,0.9,Isoler IT-03130 et appliquer les correctifs pour T4970.
CVE-2022-6900,IT-01252,TARGETS,0.81,Isoler IT-01252 et appliquer les correctifs pour CVE-2022-6900.
CVE-2021-6371,IT-05331,TARGETS,0.57,Isoler IT-05331 et appliquer les correctifs pour CVE-2021-6371.
CVE-2025-9800,IT-07269,TARGETS,0.89,Isoler IT-07269 et appliquer les correctifs pour CVE-2025-9800.
T6620,IT-00834,TARGETS,0.61,Isoler IT-00834 et appliquer les correctifs pour T6620.
CVE-2023-5831,IT-06923,TARGETS,0.71,Isoler IT-06923 et appliquer les correctifs pour CVE-2023-5831.
CVE-2022-8450,IT-01105,TARGETS,0.8,Isoler IT-01105 et appliquer les correctifs pour CVE-2022-8450.
CVE-2020-6331,IT-00457,TARGETS,0.52,Isoler IT-00457 et appliquer les correctifs pour CVE-2020-6331.
CVE-2021-2075,IT-09266,TARGETS,0.98,Isoler IT-09266 et appliquer les correctifs pour CVE-2021-2075.
CVE-2022-7567,IT-07871,TARGETS,0.71,Isoler IT-07871 et appliquer les correctifs pour CVE-2022-7567.
T3522,IT-08367,TARGETS,0.94,Isoler IT-08367 et appliquer les correctifs pour T3522.
T3614,IT-03946,TARGETS,0.75,Isoler IT-03946 et appliquer les correctifs pour T3614.
CVE-2023-1030,IT-02800,TARGETS,0.55,Isoler IT-02800 et appliquer les correctifs pour CVE-2023-1030.
T1820,IT-00952,TARGETS,0.51,Isoler IT-00952 et appliquer les correctifs pour T1820.
CVE-2025-7364,IT-09494,TARGETS,0.55,Isoler IT-09494 et appliquer les correctifs pour CVE-2025-7364.
T2077,IT-06946,TARGETS,0.78,Isoler IT-06946 et appliquer les correctifs pour T2077.
CVE-2025-9815,IT-02844,TARGETS,0.93,Isoler IT-02844 et appliquer les correctifs pour CVE-2025-9815.
CVE-2021-1591,IT-03341,TARGETS,0.76,Isoler IT-03341 et appliquer les correctifs pour CVE-2021-1591.
T6461,IT-02167,TARGETS,0.69,Isoler IT-02167 et appliquer les correctifs pour T6461.
CVE-2023-3221,IT-01134,TARGETS,0.52,Isoler IT-01134 et appliquer les correctifs pour CVE-2023-3221.
CVE-2022-7372,IT-03532,TARGETS,0.54,Isoler IT-03532 et appliquer les correctifs pour CVE-2022-7372.
T5363,IT-00312,TARGETS,0.64,Isoler IT-00312 et appliquer les correctifs pour T5363.
CVE-2020-2796,IT-05530,TARGETS,0.76,Isoler IT-05530 et appliquer les correctifs pour CVE-2020-2796.
T9938,IT-07193,TARGETS,0.99,Isoler IT-07193 et appliquer les correctifs pour T9938.
CVE-2023-4232,IT-07573,TARGETS,0.55,Isoler IT-07573 et appliquer les correctifs pour CVE-2023-4232.
CVE-2023-4074,IT-09020,TARGETS,0.78,Isoler IT-09020 et appliquer les correctifs pour CVE-2023-4074.
CVE-2024-9120,IT-04220,TARGETS,0.77,Isoler IT-04220 et appliquer les correctifs pour CVE-2024-9120.
CVE-2025-7963,IT-03179,TARGETS,0.71,Isoler IT-03179 et appliquer les correctifs pour CVE-2025-7963.
CVE-2022-8462,IT-07352,TARGETS,0.75,Isoler IT-07352 et appliquer les correctifs pour CVE-2022-8462.
T1955,IT-07948,TARGETS,0.67,Isoler IT-07948 et appliquer les correctifs pour T1955.
CVE-2021-9202,IT-08179,TARGETS,0.9,Isoler IT-08179 et appliquer les correctifs pour CVE-2021-9202.
CVE-2023-8133,IT-09268,TARGETS,0.67,Isoler IT-09268 et appliquer les correctifs pour CVE-2023-8133.
T2076,IT-00563,TARGETS,0.84,Isoler IT-00563 et appliquer les correctifs pour T2076.
CVE-2024-8848,IT-06460,TARGETS,0.58,Isoler IT-06460 et appliquer les correctifs pour CVE-2024-8848.
T4162,IT-01891,TARGETS,0.9,Isoler IT-01891 et appliquer les correctifs pour T4162.
T5478,IT-02233,TARGETS,0.59,Isoler IT-02233 et appliquer les correctifs pour T5478.
T4402,IT-04352,TARGETS,0.53,Isoler IT-04352 et appliquer les correctifs pour T4402.
T5057,IT-01713,TARGETS,0.51,Isoler IT-01713 et appliquer les correctifs pour T5057.
T6958,IT-08110,TARGETS,0.53,Isoler IT-08110 et appliquer les correctifs pour T6958.
CVE-2021-7477,IT-02725,TARGETS,0.54,Isoler IT-02725 et appliquer les correctifs pour CVE-2021-7477.
T3984,IT-02536,TARGETS,0.67,Isoler IT-02536 et appliquer les correctifs pour T3984.
CVE-2025-5154,IT-04126,TARGETS,0.58,Isoler IT-04126 et appliquer les correctifs pour CVE-2025-5154.
T2522,IT-04837,TARGETS,0.97,Isoler IT-04837 et appliquer les correctifs pour T2522.
T7567,IT-03373,TARGETS,0.78,Isoler IT-03373 et appliquer les correctifs pour T7567.
CVE-2022-5269,IT-08584,TARGETS,0.63,Isoler IT-08584 et appliquer les correctifs pour CVE-2022-5269.
CVE-2022-9007,IT-06161,TARGETS,0.52,Isoler IT-06161 et appliquer les correctifs pour CVE-2022-9007.
T1101,IT-09746,TARGETS,0.78,Isoler IT-09746 et appliquer les correctifs pour T1101.
CVE-2020-8280,IT-01118,TARGETS,0.56,Isoler IT-01118 et appliquer les correctifs pour CVE-2020-8280.
T6752,IT-09724,TARGETS,0.67,Isoler IT-09724 et appliquer les correctifs pour T6752.
CVE-2022-1778,IT-03960,TARGETS,0.68,Isoler IT-03960 et appliquer les correctifs pour CVE-2022-1778.
T4113,IT-01865,TARGETS,0.5,Isoler IT-01865 et appliquer les correctifs pour T4113.
T4317,IT-03641,TARGETS,0.57,Isoler IT-03641 et appliquer les correctifs pour T4317.
T3614,IT-03449,TARGETS,0.67,Isoler IT-03449 et appliquer les correctifs pour T3614.
CVE-2020-2995,IT-09659,TARGETS,0.92,Isoler IT-09659 et appliquer les correctifs pour CVE-2020-2995.
CVE-2023-3393,IT-06743,TARGETS,0.8,Isoler IT-06743 et appliquer les correctifs pour CVE-2023-3393.
CVE-2021-3485,IT-00823,TARGETS,0.66,Isoler IT-00823 et appliquer les correctifs pour CVE-2021-3485.
T9440,IT-05776,TARGETS,0.69,Isoler IT-05776 et appliquer les correctifs pour T9440.
T5057,IT-07092,TARGETS,0.74,Isoler IT-07092 et appliquer les correctifs pour T5057.
T2921,IT-08724,TARGETS,0.87,Isoler IT-08724 et appliquer les correctifs pour T2921.
CVE-2024-7792,IT-08214,TARGETS,0.91,Isoler IT-08214 et appliquer les correctifs pour CVE-2024-7792.
T8411,IT-07191,TARGETS,0.67,Isoler IT-07191 et appliquer les correctifs pour T8411.
CVE-2020-2673,IT-04708,TARGETS,0.65,Isoler IT-04708 et appliquer les correctifs pour CVE-2020-2673.
CVE-2023-2623,IT-08717,TARGETS,0.73,Isoler IT-08717 et appliquer les correctifs pour CVE-2023-2623.
T5289,IT-00607,TARGETS,0.63,Isoler IT-00607 et appliquer les correctifs pour T5289.
T2162,IT-01529,TARGETS,0.73,Isoler IT-01529 et appliquer les correctifs pour T2162.
T5645,IT-09762,TARGETS,0.98,Isoler IT-09762 et appliquer les correctifs pour T5645.
CVE-2022-4234,IT-04748,TARGETS,0.92,Isoler IT-04748 et appliquer les correctifs pour CVE-2022-4234.
T7207,IT-09141,TARGETS,0.84,Isoler IT-09141 et appliquer les correctifs pour T7207.
T8553,IT-03931,TARGETS,0.81,Isoler IT-03931 et appliquer les correctifs pour T8553.
T8508,IT-02365,TARGETS,0.9,Isoler IT-02365 et appliquer les correctifs pour T8508.
T7710,IT-06509,TARGETS,0.6,Isoler IT-06509 et appliquer les correctifs pour T7710.
T8813,IT-09682,TARGETS,0.66,Isoler IT-09682 et appliquer les correctifs pour T8813.
T2719,IT-07976,TARGETS,0.95,Isoler IT-07976 et appliquer les correctifs pour T2719.
T8034,IT-05604,TARGETS,0.6,Isoler IT-05604 et appliquer les correctifs pour T8034.
T6606,IT-09462,TARGETS,0.88,Isoler IT-09462 et appliquer les correctifs pour T6606.
T2119,IT-08789,TARGETS,0.53,Isoler IT-08789 et appliquer les correctifs pour T2119.
CVE-2021-5600,IT-09965,TARGETS,0.76,Isoler IT-09965 et appliquer les correctifs pour CVE-2021-5600.
CVE-2022-6568,IT-08036,TARGETS,0.59,Isoler IT-08036 et appliquer les correctifs pour CVE-2022-6568.
T1967,IT-08444,TARGETS,0.88,Isoler IT-08444 et appliquer les correctifs pour T1967.
T7201,IT-01011,TARGETS,0.73,Isoler IT-01011 et appliquer les correctifs pour T7201.
T4012,IT-09542,TARGETS,0.58,Isoler IT-09542 et appliquer les correctifs pour T4012.
CVE-2021-3485,IT-05121,TARGETS,0.51,Isoler IT-05121 et appliquer les correctifs pour CVE-2021-3485.
T3845,IT-00336,TARGETS,0.89,Isoler IT-00336 et appliquer les correctifs pour T3845.
T3390,IT-01469,TARGETS,0.76,Isoler IT-01469 et appliquer les correctifs pour T3390.
T2618,IT-04832,TARGETS,0.96,Isoler IT-04832 et appliquer les correctifs pour T2618.
CVE-2024-8292,IT-02832,TARGETS,0.6,Isoler IT-02832 et appliquer les correctifs pour CVE-2024-8292.
CVE-2019-11510,IT-06794,TARGETS,0.8,Isoler IT-06794 et appliquer les correctifs pour CVE-2019-11510.
T4866,IT-09149,TARGETS,0.75,Isoler IT-09149 et appliquer les correctifs pour T4866.
T8694,IT-05110,TARGETS,0.73,Isoler IT-05110 et appliquer les correctifs pour T8694.
CVE-2024-6442,IT-06975,TARGETS,0.63,Isoler IT-06975 et appliquer les correctifs pour CVE-2024-6442.
T7710,IT-01237,TARGETS,0.79,Isoler IT-01237 et appliquer les correctifs pour T7710.
CVE-2020-4287,IT-07584,TARGETS,0.75,Isoler IT-07584 et appliquer les correctifs pour CVE-2020-4287.
CVE-2023-3784,IT-06947,TARGETS,0.55,Isoler IT-06947 et appliquer les correctifs pour CVE-2023-3784.
T1227,IT-05001,TARGETS,0.9,Isoler IT-05001 et appliquer les correctifs pour T1227.
T2067,IT-02690,TARGETS,0.55,Isoler IT-02690 et appliquer les correctifs pour T2067.
CVE-2021-3286,IT-05485,TARGETS,0.84,Isoler IT-05485 et appliquer les correctifs pour CVE-2021-3286.
CVE-2023-3220,IT-00879,TARGETS,0.66,Isoler IT-00879 et appliquer les correctifs pour CVE-2023-3220.
CVE-2020-7719,IT-04856,TARGETS,0.54,Isoler IT-04856 et appliquer les correctifs pour CVE-2020-7719.
CVE-2024-5383,IT-07963,TARGETS,0.68,Isoler IT-07963 et appliquer les correctifs pour CVE-2024-5383.
CVE-2021-7724,IT-04720,TARGETS,0.65,Isoler IT-04720 et appliquer les correctifs pour CVE-2021-7724.
T1025,IT-04840,TARGETS,0.62,Isoler IT-04840 et appliquer les correctifs pour T1025.
CVE-2020-1863,IT-00683,TARGETS,0.92,Isoler IT-00683 et appliquer les correctifs pour CVE-2020-1863.
CVE-2020-5648,IT-08086,TARGETS,0.95,Isoler IT-08086 et appliquer les correctifs pour CVE-2020-5648.
T2798,IT-01864,TARGETS,0.73,Isoler IT-01864 et appliquer les correctifs pour T2798.
CVE-2020-4341,IT-03599,TARGETS,0.95,Isoler IT-03599 et appliquer les correctifs pour CVE-2020-4341.
T9221,IT-09544,TARGETS,0.57,Isoler IT-09544 et appliquer les correctifs pour T9221.
T8913,IT-07566,TARGETS,0.86,Isoler IT-07566 et appliquer les correctifs pour T8913.
T4854,IT-04746,TARGETS,0.85,Isoler IT-04746 et appliquer les correctifs pour T4854.
CVE-2025-9375,IT-09081,TARGETS,0.65,Isoler IT-09081 et appliquer les correctifs pour CVE-2025-9375.
T4192,IT-03628,TARGETS,0.66,Isoler IT-03628 et appliquer les correctifs pour T4192.
CVE-2023-5635,IT-01353,TARGETS,0.73,Isoler IT-01353 et appliquer les correctifs pour CVE-2023-5635.
T5950,IT-04367,TARGETS,0.69,Isoler IT-04367 et appliquer les correctifs pour T5950.
CVE-2024-2912,IT-06929,TARGETS,0.84,Isoler IT-06929 et appliquer les correctifs pour CVE-2024-2912.
T2734,IT-08323,TARGETS,0.64,Isoler IT-08323 et appliquer les correctifs pour T2734.
T1711,IT-07038,TARGETS,0.57,Isoler IT-07038 et appliquer les correctifs pour T1711.
T7071,IT-04353,TARGETS,0.76,Isoler IT-04353 et appliquer les correctifs pour T7071.
CVE-2024-6843,IT-02522,TARGETS,0.81,Isoler IT-02522 et appliquer les correctifs pour CVE-2024-6843.
T5478,IT-07475,TARGETS,0.95,Isoler IT-07475 et appliquer les correctifs pour T5478.
CVE-2024-1412,IT-08081,TARGETS,0.66,Isoler IT-08081 et appliquer les correctifs pour CVE-2024-1412.
T1967,IT-08980,TARGETS,0.8,Isoler IT-08980 et appliquer les correctifs pour T1967.
T3561,IT-04346,TARGETS,0.78,Isoler IT-04346 et appliquer les correctifs pour T3561.
T4651,IT-02471,TARGETS,0.81,Isoler IT-02471 et appliquer les correctifs pour T4651.
T5829,IT-07575,TARGETS,0.69,Isoler IT-07575 et appliquer les correctifs pour T5829.
CVE-2023-2394,IT-00124,TARGETS,0.84,Isoler IT-00124 et appliquer les correctifs pour CVE-2023-2394.
T8926,IT-02943,TARGETS,0.76,Isoler IT-02943 et appliquer les correctifs pour T8926.
CVE-2025-4212,IT-01224,TARGETS,0.7,Isoler IT-01224 et appliquer les correctifs pour CVE-2025-4212.
CVE-2025-8446,IT-04107,TARGETS,0.57,Isoler IT-04107 et appliquer les correctifs pour CVE-2025-8446.
T4192,IT-07877,TARGETS,0.55,Isoler IT-07877 et appliquer les correctifs pour T4192.
CVE-2024-1623,IT-01189,TARGETS,0.59,Isoler IT-01189 et appliquer les correctifs pour CVE-2024-1623.
T1227,IT-09273,TARGETS,0.75,Isoler IT-09273 et appliquer les correctifs pour T1227.
T9202,IT-05558,TARGETS,0.89,Isoler IT-05558 et appliquer les correctifs pour T9202.
CVE-2022-4096,IT-07849,TARGETS,0.82,Isoler IT-07849 et appliquer les correctifs pour CVE-2022-4096.
T1227,IT-07130,TARGETS,0.58,Isoler IT-07130 et appliquer les correctifs pour T1227.
T9225,IT-00808,TARGETS,0.75,Isoler IT-00808 et appliquer les correctifs pour T9225.
T3392,IT-04739,TARGETS,0.71,Isoler IT-04739 et appliquer les correctifs pour T3392.
CVE-2023-2055,IT-01821,TARGETS,0.87,Isoler IT-01821 et appliquer les correctifs pour CVE-2023-2055.
CVE-2021-3088,IT-00369,TARGETS,0.63,Isoler IT-00369 et appliquer les correctifs pour CVE-2021-3088.
T7181,IT-06159,TARGETS,0.88,Isoler IT-06159 et appliquer les correctifs pour T7181.
T3080,IT-08883,TARGETS,0.66,Isoler IT-08883 et appliquer les correctifs pour T3080.
CVE-2023-3784,IT-03351,TARGETS,0.72,Isoler IT-03351 et appliquer les correctifs pour CVE-2023-3784.
CVE-2020-1703,IT-08661,TARGETS,0.55,Isoler IT-08661 et appliquer les correctifs pour CVE-2020-1703.
CVE-2023-2599,IT-08778,TARGETS,0.55,Isoler IT-08778 et appliquer les correctifs pour CVE-2023-2599.
T8881,IT-08420,TARGETS,0.65,Isoler IT-08420 et appliquer les correctifs pour T8881.
CVE-2024-4917,IT-07906,TARGETS,0.99,Isoler IT-07906 et appliquer les correctifs pour CVE-2024-4917.
T2444,IT-09535,TARGETS,0.91,Isoler IT-09535 et appliquer les correctifs pour T2444.
T4754,IT-04514,TARGETS,0.83,Isoler IT-04514 et appliquer les correctifs pour T4754.
T2817,IT-04586,TARGETS,0.68,Isoler IT-04586 et appliquer les correctifs pour T2817.
T7365,IT-01825,TARGETS,0.66,Isoler IT-01825 et appliquer les correctifs pour T7365.
T7820,IT-04736,TARGETS,1.0,Isoler IT-04736 et appliquer les correctifs pour T7820.
T6538,IT-09762,TARGETS,0.8,Isoler IT-09762 et appliquer les correctifs pour T6538.
CVE-2023-5960,IT-05794,TARGETS,0.93,Isoler IT-05794 et appliquer les correctifs pour CVE-2023-5960.
CVE-2025-9189,IT-02643,TARGETS,0.99,Isoler IT-02643 et appliquer les correctifs pour CVE-2025-9189.
CVE-2024-6538,IT-03549,TARGETS,0.81,Isoler IT-03549 et appliquer les correctifs pour CVE-2024-6538.
CVE-2024-9332,IT-09992,TARGETS,0.59,Isoler IT-09992 et appliquer les correctifs pour CVE-2024-9332.
T2541,IT-07826,TARGETS,0.6,Isoler IT-07826 et appliquer les correctifs pour T2541.
CVE-2022-3238,IT-07327,TARGETS,0.6,Isoler IT-07327 et appliquer les correctifs pour CVE-2022-3238.
CVE-2020-1691,IT-05949,TARGETS,0.73,Isoler IT-05949 et appliquer les correctifs pour CVE-2020-1691.
CVE-2022-9902,IT-02152,TARGETS,0.53,Isoler IT-02152 et appliquer les correctifs pour CVE-2022-9902.
CVE-2024-4695,IT-06303,TARGETS,0.92,Isoler IT-06303 et appliquer les correctifs pour CVE-2024-4695.
CVE-2025-3838,IT-02249,TARGETS,0.68,Isoler IT-02249 et appliquer les correctifs pour CVE-2025-3838.
CVE-2021-3485,IT-07250,TARGETS,0.92,Isoler IT-07250 et appliquer les correctifs pour CVE-2021-3485.
T8676,IT-09161,TARGETS,0.85,Isoler IT-09161 et appliquer les correctifs pour T8676.
T1517,IT-03737,TARGETS,0.51,Isoler IT-03737 et appliquer les correctifs pour T1517.
CVE-2025-4098,IT-02898,TARGETS,0.97,Isoler IT-02898 et appliquer les correctifs pour CVE-2025-4098.
CVE-2021-6649,IT-04329,TARGETS,0.57,Isoler IT-04329 et appliquer les correctifs pour CVE-2021-6649.
T5990,IT-02586,TARGETS,0.75,Isoler IT-02586 et appliquer les correctifs pour T5990.
T5464,IT-06455,TARGETS,0.59,Isoler IT-06455 et appliquer les correctifs pour T5464.
CVE-2023-5545,IT-00084,TARGETS,0.6,Isoler IT-00084 et appliquer les correctifs pour CVE-2023-5545.
CVE-2025-7091,IT-04496,TARGETS,0.94,Isoler IT-04496 et appliquer les correctifs pour CVE-2025-7091.
T3994,IT-05657,TARGETS,0.89,Isoler IT-05657 et appliquer les correctifs pour T3994.
CVE-2025-7345,IT-02670,TARGETS,0.95,Isoler IT-02670 et appliquer les correctifs pour CVE-2025-7345.
CVE-2025-8035,IT-04149,TARGETS,0.63,Isoler IT-04149 et appliquer les correctifs pour CVE-2025-8035.
T6226,IT-04183,TARGETS,0.6,Isoler IT-04183 et appliquer les correctifs pour T6226.
T5358,IT-04126,TARGETS,0.69,Isoler IT-04126 et appliquer les correctifs pour T5358.
CVE-2024-8582,IT-06413,TARGETS,0.95,Isoler IT-06413 et appliquer les correctifs pour CVE-2024-8582.
T2712,IT-04776,TARGETS,0.73,Isoler IT-04776 et appliquer les correctifs pour T2712.
T8517,IT-06331,TARGETS,0.78,Isoler IT-06331 et appliquer les correctifs pour T8517.
CVE-2025-2184,IT-05181,TARGETS,0.7,Isoler IT-05181 et appliquer les correctifs pour CVE-2025-2184.
CVE-2024-6786,IT-04355,TARGETS,0.64,Isoler IT-04355 et appliquer les correctifs pour CVE-2024-6786.
T6276,IT-06294,TARGETS,0.73,Isoler IT-06294 et appliquer les correctifs pour T6276.
T2410,IT-01233,TARGETS,0.73,Isoler IT-01233 et appliquer les correctifs pour T2410.
CVE-2025-1264,IT-00755,TARGETS,0.61,Isoler IT-00755 et appliquer les correctifs pour CVE-2025-1264.
